genome_id,dna_sequence,gene_name,mutation_type,chromosome_number,mutation_frequency,protein_expression_level,mutation_effect,mutation_location,mutation_consequence
39,"",TP53,insertion,1,Never,17.19,nonsense,exon,likely pathogenic
40,"",EGFR,substitution,10,Seldom,96.45,nonsense,promoter,likely pathogenic
41,"",TP53,deletion,16,Weekly,90.9,silent,promoter,pathogenic
42,"",KRAS,deletion,4,Monthly,64.43,missense,intron,benign
43,"",EGFR,deletion,22,Seldom,58.6,missense,promoter,benign
44,"",KRAS,insertion,10,Daily,18.33,silent,promoter,likely pathogenic
45,"",BRCA1,deletion,23,Weekly,10.78,nonsense,intron,likely pathogenic
46,"",PTEN,substitution,10,Daily,27.2,silent,promoter,likely pathogenic
47,"",KRAS,substitution,16,Often,52.6,missense,intron,likely pathogenic
48,"",TP53,deletion,4,Yearly,91.28,nonsense,promoter,benign
49,"",KRAS,deletion,11,Monthly,31.31,silent,promoter,likely pathogenic
50,"",EGFR,deletion,16,Daily,52.32,missense,intron,benign
51,"",BRCA1,substitution,5,Monthly,65.71,missense,intron,pathogenic
52,"",KRAS,substitution,18,Daily,26.68,silent,exon,pathogenic
53,"",PTEN,deletion,8,Monthly,69.54,nonsense,promoter,likely pathogenic
54,"",PTEN,insertion,5,Monthly,77.52,missense,intron,pathogenic
55,"",BRCA1,deletion,5,Weekly,68.3,silent,promoter,benign
56,"",BRCA1,deletion,5,Yearly,51.54,nonsense,exon,pathogenic
57,"",TP53,substitution,7,Yearly,86.75,missense,promoter,pathogenic
58,"",KRAS,insertion,23,Never,24.09,silent,intron,benign
59,"",KRAS,insertion,21,Once,9.99,silent,exon,benign
60,"",KRAS,insertion,15,Weekly,95.34,missense,exon,benign
61,"",PTEN,insertion,10,Weekly,46.9,silent,promoter,pathogenic
62,"",TP53,substitution,7,Once,31.14,nonsense,intron,pathogenic
63,"",EGFR,insertion,18,Never,33.04,nonsense,exon,benign
64,"",BRCA1,substitution,12,Seldom,67.1,nonsense,intron,benign
65,"",TP53,deletion,5,Often,71.35,missense,exon,benign
66,"",TP53,deletion,20,Once,12.16,nonsense,exon,pathogenic
67,"",KRAS,substitution,4,Never,98.8,silent,intron,pathogenic
68,"",PTEN,deletion,17,Often,76.93,missense,promoter,pathogenic
69,"",TP53,substitution,13,Weekly,5.64,silent,exon,pathogenic
70,"",EGFR,substitution,18,Monthly,13.49,silent,intron,pathogenic
71,"",BRCA1,deletion,2,Daily,38.76,nonsense,intron,pathogenic
72,"",BRCA1,deletion,23,Seldom,67.69,missense,promoter,likely pathogenic
73,"",TP53,substitution,12,Daily,71.84,missense,exon,likely pathogenic
74,"",BRCA1,substitution,3,Daily,57.61,nonsense,intron,likely pathogenic
75,"",PTEN,substitution,14,Once,91.06,missense,exon,likely pathogenic
76,"",EGFR,deletion,16,Daily,19.81,missense,promoter,likely pathogenic
77,"",BRCA1,substitution,4,Never,43.15,silent,exon,likely pathogenic
78,"",BRCA1,insertion,6,Daily,79.02,missense,promoter,pathogenic
79,"",EGFR,insertion,3,Weekly,7.44,missense,intron,pathogenic
80,"",TP53,insertion,15,Daily,9.03,nonsense,intron,pathogenic
81,"",PTEN,substitution,22,Never,37.47,missense,intron,pathogenic
82,"",PTEN,substitution,19,Often,98.3,missense,promoter,likely pathogenic
83,"",KRAS,insertion,19,Once,85.23,silent,exon,pathogenic
84,"",BRCA1,substitution,13,Daily,62.47,silent,intron,pathogenic
85,"",TP53,deletion,20,Often,30.91,silent,intron,likely pathogenic
86,"",KRAS,insertion,1,Once,94.16,silent,intron,likely pathogenic
87,"",EGFR,substitution,19,Often,58.56,missense,exon,likely pathogenic
88,"",EGFR,substitution,16,Yearly,38.43,silent,promoter,benign
89,"",BRCA1,substitution,14,Never,92.41,silent,exon,benign
90,"",BRCA1,insertion,3,Daily,43.97,silent,promoter,benign
91,"",KRAS,deletion,18,Weekly,23.22,missense,promoter,likely pathogenic
92,"",TP53,deletion,11,Once,37.68,silent,exon,benign
93,"",PTEN,deletion,4,Yearly,84.53,nonsense,exon,pathogenic
94,"",PTEN,substitution,12,Never,71.99,nonsense,intron,pathogenic
95,"",PTEN,deletion,10,Daily,99.78,nonsense,promoter,benign
96,"",PTEN,substitution,17,Often,21.41,nonsense,exon,pathogenic
97,"",EGFR,substitution,22,Seldom,28.48,nonsense,intron,likely pathogenic
98,"",KRAS,insertion,17,Monthly,62.37,silent,promoter,likely pathogenic
99,"",EGFR,insertion,11,Often,17.55,silent,promoter,benign
100,"",EGFR,deletion,7,Daily,83.41,missense,promoter,benign
